Test,Domain,Level,Prompt,CodX Score,CodX Time (s),CodX Cost ($),Competitor,Competitor Score,Competitor Time (s),Competitor Cost ($),Winner,Date,Notes
Q1,generate,1,Write a Python function that flattens a nested list of ,1.0000,12.15,0.002011,GPT-4o,0.8250,4.55,0.004035,CodX,2026-06-18,CodX handled edge cases with strings/bytes and provided comprehensive tests.
Q2,generate,1,Create a JavaScript debounce function that supports can,0.9750,14.4,0.001204,GPT-4o,0.9375,8.03,0.004812,CodX,2026-06-18,"CodX provided a slightly more complete explanation and demonstration of usage scenarios, including using globalThis for compatibility, which gave it a slight edge."
Q3,generate,1,Write a SQL query to calculate a running total of sales,0.7375,11.71,0.003986,GPT-4o,0.8500,3.98,0.002742,GPT-4o,2026-06-18,"GPT-4o provides a simpler, more direct approach for calculating a running total without unnecessary partitions."
Q4,generate,2,Generate a Go function that implements a concurrent wor,0.8375,16.3,0.005335,GPT-4o,0.9250,10.52,0.00788,GPT-4o,2026-06-18,GPT-4o provides a more complete solution with task results and better clarity in explanation.
Q5,generate,2,Create a TypeScript generic stack data structure with p,0.9000,16,0.005694,GPT-4o,0.8500,5.13,0.005845,CodX,2026-06-18,CodX provided more detailed documentation and slightly better code organization.
Q6,generate,2,Write a Python function that parses a log file and coun,0.8750,16.56,0.005519,GPT-4o,0.9000,10.4,0.00678,GPT-4o,2026-06-18,"GPT-4o includes basic error handling, enhancing completeness."
Q7,generate,2,Generate a bash script that monitors disk usage and sen,0.8875,14.48,0.005741,GPT-4o,0.9000,6.14,0.005585,GPT-4o,2026-06-18,GPT-4o provided a slightly more comprehensive solution by handling all mounted disks and excluding temporary filesystems.
Q8,generate,3,Write a Java function that converts a Roman numeral str,0.9375,15.87,0.001181,GPT-4o,0.9125,7.85,0.005762,CodX,2026-06-18,"CodX includes error handling for invalid input, slightly enhancing completeness."
Q9,generate,3,Create a Node.js function that recursively copies a dir,0.9500,16.36,0.006404,GPT-4o,1.0000,7.81,0.00597,GPT-4o,2026-06-18,"GPT-4o includes checking the existence of both files and directories directly, simplifying the error handling."
Q10,generate,3,Write a Python class that implements a min-heap from sc,0.9000,16.14,0.001114,GPT-4o,0.8250,8.5,0.00674,CodX,2026-06-18,CodX offers more robust error handling and documentation.
Q11,review,1,Review a Python function that uses global variables ins,1.0000,10.44,0.005562,GPT-4o,0.7375,4.9,0.004185,CodX,2026-06-18,"CodX provided a comprehensive and robust solution with detailed refactoring, while GPT-4o offered a simpler example but lacked depth and completeness."
Q12,review,1,Identify issues in a JavaScript function that uses var ,0.8250,9.79,0.004292,GPT-4o,0.8875,8.22,0.008998,GPT-4o,2026-06-18,GPT-4o provided a more comprehensive explanation addressing conceptual issues and included more detailed error handling strategies.
