Test,Domain,Level,Prompt,CodX Score,CodX Time (s),CodX Cost ($),Competitor,Competitor Score,Competitor Time (s),Competitor Cost ($),Winner,Date,Notes
Q1,Generate Code,Easy,Return the first non-repeating character in a string.,0.9375,14.16,0.002446,Claude Sonnet 4.6,0.9750,13.57,0.012552,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 included comprehensive tests and alternative solutions; demonstrating completeness and clarity.
Q2,Generate Code,Easy,Group users by country from a list of dictionaries.,0.9750,13.7,0.009839,Claude Sonnet 4.6,0.9125,12.04,0.012999,CodX,2026-06-19,CodX offers robust input validation and comprehensive documentation; ensuring higher completeness and clarity.
Q3,Generate Code,Easy,Fetch weather data with error handling.,0.8875,15.9,0.006351,Claude Sonnet 4.6,0.8375,14.46,0.015405,CodX,2026-06-19,CodX offers clearer documentation and a more complete implementation of error handling.
Q4,Generate Code,Medium,SQL query for top customers in last 30 days.,0.8925,13.58,0.001680,Claude Sonnet 4.6,0.8725,12.61,0.012702,CodX,2026-06-19,CodX provides a more accurate and direct query execution with a clear explanation focused on the standard approach.
Q5,Generate Code,Medium,Implement a Go worker pool.,0.9000,15.96,0.004937,Claude Sonnet 4.6,0.8500,13.68,0.015402,CodX,2026-06-19,CodX provides a simpler; fully-functional implementation directly addressing the problem statement.
Q6,Generate Code,Medium,Implement an O(1) LRU cache.,0.8000,15.85,0.001112,Claude Sonnet 4.6,0.8625,15.93,0.015417,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 uses a more efficient data structure combination; leading to better correctness and completeness.
Q7,Generate Code,Hard,Distributed rate limiter using Redis.,0.8875,16.17,0.007626,Claude Sonnet 4.6,0.8000,13.09,0.015405,CodX,2026-06-19,CodX provided a more focused and clear implementation with a full runnable example.
Q8,Generate Code,Hard,Kafka consumer with retries and DLQ.,0.8625,15.87,0.001112,Claude Sonnet 4.6,0.7500,14.03,0.015414,CodX,2026-06-19,CodX provided a more complete and idiomatic implementation with clearer documentation.
Q9,Generate Code,Hard,Trie with autocomplete support.,0.8500,15.9,0.007656,Claude Sonnet 4.6,0.9000,14.27,0.015405,Claude Sonnet 4.6,2026-06-19,Claude Sonnet offers more complete functionality including delete and word count features.
Q10,Generate Code,Hard,URL shortener backend API.,0.9000,15.8,0.000567,Claude Sonnet 4.6,0.7875,12.96,0.015399,CodX,2026-06-19,CodX provided a more complete and well-explained solution.
Q11,Security Audit,Easy,Identify SQL injection vulnerability.,0.8750,15.73,0.007463,Claude Sonnet 4.6,0.7750,17.3,0.015399,CodX,2026-06-19,CodX provided a more detailed explanation and included language-specific examples with error handling.
Q12,Security Audit,Easy,Find hardcoded secret exposure.,0.8625,15.97,0.004453,Claude Sonnet 4.6,0.9250,16.13,0.015402,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provided broader language coverage and more detailed examples which increased completeness and correctness.
Q13,Security Audit,Easy,Review weak authentication logic.,0.7750,15.84,0.001110,Claude Sonnet 4.6,0.8375,15.46,0.015396,Claude Sonnet 4.6,2026-06-19,Claude Sonnet covers more vulnerabilities with clear examples and secure countermeasures.
Q14,Security Audit,Medium,Detect path traversal issue.,0.7750,15.24,0.006402,Claude Sonnet 4.6,0.7875,17.32,0.015402,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 showed better completeness by including multiple detection methods and the most reliable canonical path check.
Q15,Security Audit,Medium,Detect command injection risk.,0.8125,15.91,0.005315,Claude Sonnet 4.6,0.7625,16.66,0.015399,CodX,2026-06-19,CodX offers a more complete and structured detection mechanism for command injection patterns.
Q16,Security Audit,Medium,Audit JWT validation logic.,0.8250,16.07,0.001610,Claude Sonnet 4.6,0.8438,17.07,0.015399,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 edges out with better coverage of critical vulnerabilities like algorithm confusion attacks.
Q17,Security Audit,Hard,Identify SSRF vulnerability.,0.8750,16.34,0.001545,Claude Sonnet 4.6,0.8625,17.58,0.015402,CodX,2026-06-19,CodX provided a more structured and application-ready response with detailed mitigation steps.
Q18,Security Audit,Hard,Audit public cloud storage configuration.,0.8000,15.77,0.000727,Claude Sonnet 4.6,0.8000,14.4,0.015402,tie,2026-06-19,CodX provided a detailed implementation; while Claude Sonnet outlined a comprehensive audit process; both are equally valuable in different ways.
Q19,Security Audit,Hard,Review unsafe object deserialization.,0.8250,15.87,0.000765,Claude Sonnet 4.6,0.8625,18.05,0.015402,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provided a more comprehensive view across multiple languages; enhancing completeness.
Q20,Security Audit,Hard,Full login endpoint security assessment.,0.8000,16.06,0.001762,Claude Sonnet 4.6,0.8250,17.31,0.015399,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 showcases a greater breadth in security assessment techniques and tools; covering practical checks beyond implementation.
Q21,System Audit,Easy,Identify single points of failure.,0.0000,120.51,0.000000,Claude Sonnet 4.6,0.0000,120.24,0.000000,tie,2026-06-19,Both tools failed to provide an answer due to operation timeout.
Q22,System Audit,Easy,Audit logging strategy.,0.8250,15.86,0.001597,Claude Sonnet 4.6,0.9500,18.12,0.015396,Claude Sonnet 4.6,2026-06-19,Claude Sonnet's answer is more comprehensive; covering more aspects of audit logging; including principles and architecture patterns.
Q23,System Audit,Easy,Evaluate backup frequency.,0.8250,19.87,0.006384,Claude Sonnet 4.6,0.8375,19.71,0.010836,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provides a more comprehensive framework encompassing broader auditing considerations.
Q24,System Audit,Medium,Improve microservice resilience.,0.8750,16.16,0.001111,Claude Sonnet 4.6,0.8125,12.56,0.015402,CodX,2026-06-19,CodX provided a more comprehensive and better-structured implementation for microservice resilience.
Q25,System Audit,Medium,Audit database scaling approach.,0.7750,14.53,0.006702,Claude Sonnet 4.6,0.8125,16.97,0.015399,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provides a more comprehensive framework and assessment coverage.
Q26,System Audit,Medium,Review CI/CD pipeline gaps.,0.8125,15.89,0.001111,Claude Sonnet 4.6,0.7500,18.82,0.015402,CodX,2026-06-19,CodX provided a more structured and technically comprehensive solution with code samples; though lacking complete execution details.
Q27,System Audit,Hard,Kubernetes cluster audit.,0.8250,16.25,0.000643,Claude Sonnet 4.6,0.7625,16.08,0.015396,CodX,2026-06-19,CodX provides a more structured programmatic approach; beneficial for integration and extensibility.
Q28,System Audit,Hard,Incident response readiness review.,0.6125,15.82,0.000460,Claude Sonnet 4.6,0.8250,19.84,0.015402,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provides a more comprehensive and technically accurate framework for incident response readiness evaluation.
Q29,System Audit,Hard,Event-driven architecture audit.,0.7375,18.07,0.000132,Claude Sonnet 4.6,0.8750,18.24,0.015399,Claude Sonnet 4.6,2026-06-19,Claude Sonnet provides a more comprehensive and clearly structured framework for auditing an Event-Driven Architecture.
Q30,System Audit,Hard,Enterprise architecture modernization.,0.8375,18.07,0.007384,Claude Sonnet 4.6,0.8250,19.2,0.015396,CodX,2026-06-19,CodX stands out with a more detailed architectural blueprint and pseudocode; enhancing technical correctness and quality.
Q31,Debug & Fix,Easy,Fix off-by-one error.,0.5750,9.97,0.007497,Claude Sonnet 4.6,0.6750,3.91,0.001845,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provides a more direct and clear path for identifying and resolving the issue.
Q32,Debug & Fix,Easy,Fix null reference bug.,0.8750,16.09,0.006066,Claude Sonnet 4.6,0.2000,2.72,0.000756,CodX,2026-06-19,CodX provides a detailed and language-specific solution; while Claude Sonnet 4.6 does not address the problem.
Q33,Debug & Fix,Easy,Fix infinite loop.,0.3875,12.96,0.005009,Claude Sonnet 4.6,0.3000,2.28,0.000828,CodX,2026-06-19,CodX provides a slightly more structured approach to fixing the issue.
Q34,Debug & Fix,Medium,Fix async/await bug.,0.8750,15.81,0.000396,Claude Sonnet 4.6,0.9250,12.46,0.011604,Claude Sonnet 4.6,2026-06-19,Claude Sonnet provides clearer examples and addresses common async/await issues with concise explanations.
Q35,Debug & Fix,Medium,Fix race condition.,0.0000,15.96,0.007659,Claude Sonnet 4.6,0.0000,5.92,0.001893,tie,2026-06-19,Both responses require the code snippet and provide similar next steps with no significant differentiators.
Q36,Debug & Fix,Medium,Fix database connection leak.,0.9000,16.4,0.013082,Claude Sonnet 4.6,0.8375,14.09,0.015396,CodX,2026-06-19,CodX provided broader language coverage and detailed examples ensuring proper resource management.
Q37,Debug & Fix,Hard,Resolve deadlock.,0.9250,15.95,0.000106,Claude Sonnet 4.6,0.8313,18.39,0.013596,CodX,2026-06-19,CodX provided a more comprehensive and practical solution with code that directly addresses deadlock with resource ordering.
Q38,Debug & Fix,Hard,Fix memory leak.,0.7750,15.99,0.001200,Claude Sonnet 4.6,0.0000,2.91,0.001443,CodX,2026-06-19,CodX provides a comprehensive and well-structured example while Claude Sonnet 4.6 lacks an attempt without the code.
Q39,Debug & Fix,Hard,Investigate CrashLoopBackOff.,0.8375,12.09,0.007042,Claude Sonnet 4.6,0.8375,17.44,0.015414,tie,2026-06-19,CodX provides a structured; automated investigation approach; whereas Claude Sonnet offers detailed manual investigation steps.
Q40,Debug & Fix,Hard,Analyze production outage.,0.8000,16.2,0.008075,Claude Sonnet 4.6,0.7250,17.01,0.012024,CodX,2026-06-19,CodX provides a concrete implementation; while Claude Sonnet offers a structured framework without specific code.
Q41,Code Review,Easy,Improve readability.,0.6000,13.41,0.002180,Claude Sonnet 4.6,0.6125,2.43,0.000741,Claude Sonnet 4.6,2026-06-19,Claude Sonnet is slightly clearer in its request for more information.
Q42,Code Review,Easy,Remove duplicate logic.,0.8625,14.32,0.013113,Claude Sonnet 4.6,0.2750,3.02,0.001338,CodX,2026-06-19,CodX provided a comprehensive; well-documented refactoring example; whereas Claude Sonnet 4.6 did not offer a tangible solution.
Q43,Code Review,Easy,Improve error handling.,0.8500,16.01,0.006413,Claude Sonnet 4.6,0.7750,14.08,0.015396,CodX,2026-06-19,CodX provided a more robust and contextually integrated error handling solution.
Q44,Code Review,Medium,Optimize performance.,0.5750,8.2,0.000846,Claude Sonnet 4.6,0.8250,12.95,0.006828,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provides specific; actionable optimization techniques and examples; showing deeper insight into potential performance improvements.
Q45,Code Review,Medium,Review resource management.,0.8375,15.92,0.007610,Claude Sonnet 4.6,0.2750,14.47,0.012198,CodX,2026-06-19,CodX provided a technical and code-focused answer; while Claude Sonnet addressed organizational resource management; missing the coding context.
Q46,Code Review,Medium,Improve API design.,0.8875,14.52,0.002199,Claude Sonnet 4.6,0.7500,8.56,0.007221,CodX,2026-06-19,CodX provided a complete example with code implementation; whereas Claude Sonnet offered generalized principles without specific application.
Q47,Code Review,Hard,Review database scalability.,0.7625,16.11,0.007502,Claude Sonnet 4.6,0.8625,16.91,0.015396,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provided a more comprehensive overview of scalability strategies beyond indexing and keys.
Q48,Code Review,Hard,Review XSS vulnerability.,0.9325,15.89,0.007012,Claude Sonnet 4.6,0.8750,17.13,0.015399,CodX,2026-06-19,CodX demonstrated a more comprehensive approach with code implementations for both vulnerability examples and prevention; while Claude Sonnet 4.6 focused primarily on explanations.
Q49,Code Review,Hard,Review concurrent access bug.,0.7375,16.07,0.005876,Claude Sonnet 4.6,0.9000,16.23,0.015396,Claude Sonnet 4.6,2026-06-19,Claude Sonnet 4.6 provided a more comprehensive overview of concurrency issues.
Q50,Code Review,Hard,Full service review.,0.8500,16.18,0.005798,Claude Sonnet 4.6,0.1250,6.79,0.003573,CodX,2026-06-19,CodX provided a complete and technically sound solution; whereas Claude Sonnet 4.6 was non-responsive to the task.
